"","Methods","RHO","Median","Q1","Q3","Mean","SD","Prop.SIFI"
"1","H0 1a  - Best Clone","5.3","-6","-8","-4","-6.032","2.2484","0.0457"
"2","Best Flip","5.3","-3","-4","-2","-2.8706","1.1682","0.0217"
"3","Best Delete","5.3","-5","-7","-3","-5.1854","2.5963","0.0393"
"4","Worst Clone","5.3","-19","-25","-13","-18.4392","7.7298","0.1397"
"5","Worst Flip","5.3","-9","-11","-6","-8.1724","3.2031","0.0619"
"6","Worst Delete","5.3","-15","-20","-10","-14.7707","6.0101","0.1119"
"7","H1 1a -Best Clone","88.9","3","2","4","3.2314","1.6501","0.0245"
"8","Best Flip","88.9","2","1","3","2.3419","1.2037","0.0177"
"9","Best Delete","88.9","6","4","10","7.0721","4.2959","0.0536"
"10","Worst Clone","88.9","15","9","22","16.3494","9.699","0.1238"
"11","Worst Flip","88.9","8","5","11","8.4216","4.5644","0.0638"
"12","Worst Delete","88.9","17","10","24","17.1528","9.1496","0.1299"
"13","H1 1b - Best Clone","61","2","1","3","2.2331","1.2883","0.0169"
"14","Best Flip","61","1","1","2","1.6615","0.8808","0.0126"
"15","Best Delete","61","4","2","6","4.5198","3.2292","0.0342"
"16","Worst Clone","61","9","4","15","10.3884","7.5151","0.0787"
"17","Worst Flip","61","5","3","8","5.5613","3.6551","0.0421"
"18","Worst Delete","61","10","5","16","11.3103","7.59","0.0857"
"19","H1 1c - Best Clone","100","8","7","10","8.4153","1.8389","0.0638"
"20","Best Flip","100","6","5","8","6.4932","1.6069","0.0492"
"21","Best Delete","100","22","18","26","22.13","5.8406","0.1677"
"22","Worst Clone","100","48","40","56","47.4","10.523","0.3247"
"23","Worst Flip","100","23","19","26","22.6251","4.7844","0.1714"
"24","Worst Delete","100","43","38","48","42.4654","7.2128","0.3217"
